lat	lon
65.760101318359375	-23.889377593994141
65.784477233886719	-23.970590591430664
65.807205200195313	-24.081701278686523
65.7197265625	-24.075349807739258
65.678459167480469	-24.019401550292969
65.659660339355469	-23.931734085083008
65.623779296875	-23.849386215209961
65.608139038085938	-23.788810729980469
65.595390319824219	-23.782453536987305
65.619453430175781	-23.861013412475586
65.645736694335938	-24.009429931640625
65.633941650390625	-24.068082809448242
65.595947265625	-23.996786117553711
65.557991027832031	-23.906553268432617
65.533920288085938	-23.836992263793945
65.5213623046875	-23.835746765136719
65.551315307617188	-23.952083587646484
65.567153930664063	-24.048965454101563
65.588058471679688	-24.12452507019043
65.6191177368164	-24.207704544067383
65.637779235839844	-24.326738357543945
65.611198425292969	-24.346872329711914
65.57550048828125	-24.368947982788086
65.544013977050781	-24.439735412597656
65.507049560546875	-24.518985748291016
65.496528625488281	-24.366373062133789
65.504928588867188	-24.24073600769043
65.476531982421875	-24.067670822143555
65.443901062011719	-23.959243774414063
65.4277572631836	-23.960296630859375
65.409423828125	-23.850109100341797
65.414169311523438	-23.732011795043945
65.4399642944336	-23.683719635009766
65.470230102539063	-23.621076583862305
65.4816665649414	-23.494163513183594
65.505683898925781	-23.42283821105957
65.489730834960938	-23.316221237182617
65.50164794921875	-23.193904876708984
65.529335021972656	-23.189504623413086
65.543670654296875	-23.193088531494141
65.562088012695313	-23.176191329956055
65.578262329101563	-23.158868789672852
65.582679748535156	-23.133182525634766
65.570266723632813	-23.145408630371094
65.554237365722656	-23.140409469604492
65.543472290039063	-23.061061859130859
65.545372009277344	-22.9940128326416
65.562774658203125	-22.970176696777344
65.5854263305664	-22.957553863525391
65.601356506347656	-22.956790924072266
65.603675842285156	-22.930461883544922
65.579116821289063	-22.909984588623047
65.570991516113281	-22.89073371887207
65.5860366821289	-22.860342025756836
65.600692749023438	-22.845962524414063
65.624908447265625	-22.851587295532227
65.616691589355469	-22.833278656005859
65.611465454101563	-22.811347961425781
65.595657348632813	-22.776180267333984
65.565101623535156	-22.836729049682617
65.5474853515625	-22.857389450073242
65.537712097167969	-22.869264602661133
65.5327377319336	-22.8574275970459
65.5313720703125	-22.85862922668457
65.529258728027344	-22.8331356048584
65.530685424804688	-22.816728591918945
65.528701782226563	-22.781381607055664
65.515777587890625	-22.756191253662109
65.508003234863281	-22.762140274047852
65.505874633789063	-22.733739852905273
65.50018310546875	-22.712551116943359
65.53851318359375	-22.728343963623047
65.5750961303711	-22.737829208374023
65.61126708984375	-22.76555061340332
65.626594543457031	-22.770097732543945
65.619789123535156	-22.72987174987793
65.6261215209961	-22.68431282043457
65.608039855957031	-22.688175201416016
65.582778930664063	-22.704975128173828
65.557952880859375	-22.696855545043945
65.5406494140625	-22.679737091064453
65.530197143554688	-22.671333312988281
65.523239135742188	-22.649660110473633
65.537513732910156	-22.6229248046875
65.5674819946289	-22.61338996887207
65.621856689453125	-22.621847152709961
65.60516357421875	-22.605190277099609
65.573760986328125	-22.585227966308594
65.54534912109375	-22.59095573425293
65.5330810546875	-22.569976806640625
65.549263000488281	-22.536972045898438
65.563056945800781	-22.527029037475586
65.60284423828125	-22.543069839477539
65.6433334350586	-22.546146392822266
65.614227294921875	-22.515233993530273
65.588996887207031	-22.497734069824219
65.5628662109375	-22.480672836303711
65.5414047241211	-22.480232238769531
65.5250244140625	-22.48643684387207
65.5057144165039	-22.470714569091797
65.5204086303711	-22.407369613647461
65.551620483398438	-22.396980285644531
65.528045654296875	-22.369729995727539
65.568954467773438	-22.298454284667969
65.555091857910156	-22.284702301025391
65.530593872070313	-22.341892242431641
65.522453308105469	-22.31443977355957
65.5330581665039	-22.224702835083008
65.579986572265625	-22.158281326293945
65.5991439819336	-22.090099334716797
65.557121276855469	-22.147470474243164
65.537605285644531	-22.182821273803711
65.518150329589844	-22.247310638427734
65.512908935546875	-22.321125030517578
65.489662170410156	-22.376495361328125
65.4722671508789	-22.351860046386719
65.462661743164063	-22.309974670410156
65.452842712402344	-22.295719146728516
65.441070556640625	-22.27690315246582
65.442024230957031	-22.239845275878906
65.4345703125	-22.189901351928711
65.447135925292969	-22.167074203491211
65.457389831542969	-22.161655426025391
65.485633850097656	-22.1196346282959
65.525688171386719	-22.120090484619141
65.5024185180664	-22.06114387512207
65.476600646972656	-22.043283462524414
65.495880126953125	-22.018924713134766
65.497489929199219	-21.982004165649414
65.484237670898438	-21.961122512817383
65.466987609863281	-21.917781829833984
65.4486312866211	-21.938316345214844
65.449478149414063	-21.91676139831543
65.448074340820313	-21.823501586914063
65.454216003417969	-21.71064567565918
65.421340942382813	-21.767147064208984
65.421310424804688	-21.896688461303711
65.396797180175781	-21.944908142089844
65.373519897460938	-22.035196304321289
65.344635009765625	-22.119216918945313
65.330818176269531	-22.144746780395508
65.321769714355469	-22.177177429199219
65.298446655273438	-22.307506561279297
65.289108276367188	-22.368877410888672
65.273811340332031	-22.358915328979492
65.277183532714844	-22.378192901611328
65.253944396972656	-22.406469345092773
65.239311218261719	-22.47334098815918
65.234054565429688	-22.478977203369141
65.211456298828125	-22.503959655761719
65.190391540527344	-22.535625457763672
65.189994812011719	-22.515953063964844
65.1929931640625	-22.474300384521484
65.182830810546875	-22.485576629638672
65.171554565429688	-22.515331268310547
65.184158325195313	-22.494419097900391
65.1777114868164	-22.524717330932617
65.1810073852539	-22.533695220947266
65.16943359375	-22.557647705078125
65.159111022949219	-22.537090301513672
65.160224914550781	-22.496000289916992
65.156524658203125	-22.467172622680664
65.1529769897461	-22.448385238647461
65.160934448242188	-22.417768478393555
65.16650390625	-22.408315658569336
65.168815612792969	-22.385848999023438
65.152397155761719	-22.363271713256836
65.141326904296875	-22.317607879638672
65.131561279296875	-22.275043487548828
65.123275756835938	-22.216409683227539
65.111030578613281	-22.100122451782227
65.111198425292969	-22.0305233001709
65.138320922851563	-21.911706924438477
65.15863037109375	-21.855274200439453
65.171150207519531	-21.825691223144531
65.2045669555664	-21.807945251464844
65.17266845703125	-21.709604263305664
65.142105102539063	-21.7376708984375
65.119270324707031	-21.758523941040039
65.095779418945313	-21.77397346496582
65.0643310546875	-21.820758819580078
65.045730590820313	-21.776092529296875
65.0301284790039	-21.786714553833008
65.027168273925781	-21.841730117797852
65.027381896972656	-21.997060775756836
65.036087036132813	-22.087484359741211
65.0330581665039	-22.135082244873047
65.027908325195313	-22.149234771728516
65.034439086914063	-22.178245544433594
65.0324935913086	-22.212945938110352
65.046966552734375	-22.252418518066406
65.058052062988281	-22.306604385375977
65.055130004882813	-22.354438781738281
65.056694030761719	-22.383430480957031
65.045707702636719	-22.42924690246582
65.044631958007813	-22.484180450439453
65.051300048828125	-22.518613815307617
65.041343688964844	-22.56443977355957
65.034111022949219	-22.577308654785156
65.019569396972656	-22.608537673950195
64.992256164550781	-22.600864410400391
64.971763610839844	-22.584369659423828
64.992752075195313	-22.618492126464844
64.997909545898438	-22.65681266784668
65.011909484863281	-22.668445587158203
65.026290893554688	-22.664838790893555
65.022216796875	-22.695945739746094
65.0228500366211	-22.7426815032959
65.033454895019531	-22.699970245361328
65.047515869140625	-22.686155319213867
65.0475845336914	-22.701667785644531
65.0625991821289	-22.697694778442383
65.059562683105469	-22.724031448364258
65.058975219726563	-22.741199493408203
65.073646545410156	-22.70915412902832
65.078926086425781	-22.729543685913086
65.064659118652344	-22.7518367767334
65.033073425292969	-22.832862854003906
65.033561706542969	-22.862216949462891
65.026748657226563	-22.8397216796875
65.026870727539063	-22.773488998413086
65.0123291015625	-22.825468063354492
64.99896240234375	-22.906984329223633
64.9894790649414	-22.934513092041016
65.004768371582031	-22.955472946166992
65.005828857421875	-23.0067081451416
64.964370727539063	-23.054595947265625
64.960281372070313	-23.007804870605469
64.9496078491211	-23.005712509155273
64.937286376953125	-22.997777938842773
64.933509826660156	-23.025491714477539
64.95697021484375	-23.041370391845703
64.969451904296875	-23.100656509399414
64.963043212890625	-23.101709365844727
64.9281005859375	-23.088510513305664
64.9171142578125	-23.119148254394531
