attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,7153.905,7153.905,0,0,0,49.004,349.352,48,43996,336.889,61,43989,545.290,80,43988,1041.356,94,43986,669.603,29,43992,1049.784,83,43998,422.495,51,43988,575.621,35,43976,929.640,33,43983,501.025,25,43948,336.923,32,43908,167.548,8,34748,228.378,1,9565
1,1,6714.297,6714.297,0,5,8,6385.042,349.352,48,43996,340.038,62,44049,536.070,79,43950,618.328,31,44376,1032.199,92,43706,990.421,81,43365,421.309,52,44179,440.165,35,43438,898.821,33,44799,503.561,25,43269,332.607,33,44625,0.000,0,0,251.424,9,44313
2,1,6708.194,6708.194,0,2,11,12769.704,349.352,48,43996,340.038,62,44049,536.070,79,43950,1010.636,85,43942,637.035,38,44140,988.265,79,41360,421.309,52,44179,440.165,35,43438,898.821,33,44799,504.319,26,44894,332.607,33,44625,0.000,0,0,249.576,10,44693
3,1,6688.998,6688.998,0,0,7,16846.134,349.352,48,43996,340.038,62,44049,536.070,79,43950,637.421,35,44791,991.054,88,43291,988.265,79,41360,421.309,52,44179,440.165,35,43438,898.821,33,44799,504.319,26,44894,332.607,33,44625,0.000,0,0,249.576,10,44693
4,0,6688.998,6688.998,1,0,2,18092.577,349.352,48,43996,340.038,62,44049,536.070,79,43950,637.421,35,44791,991.054,88,43291,988.265,79,41360,421.309,52,44179,440.165,35,43438,898.821,33,44799,504.319,26,44894,332.607,33,44625,0.000,0,0,249.576,10,44693
