attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount,seg14_distance,seg14_stations,seg14_amount
0,0,5191.602,5191.602,0,0,0,103.665,691.223,77,41777,592.303,61,41762,830.566,111,41898,423.995,49,35572,176.149,10,41093,199.389,29,41335,234.722,16,36195,235.455,26,39192,224.049,17,34849,350.518,33,40726,279.051,25,40066,352.033,56,41421,280.892,61,41955,321.258,9,10224
1,1,4879.596,4879.596,0,2,5,10738.460,691.223,77,41777,583.590,60,41144,826.446,111,41587,424.455,50,36501,184.750,27,37825,171.129,12,44603,233.081,20,39783,164.977,15,34675,279.227,21,44602,210.779,28,28873,266.022,33,44368,286.375,51,38571,289.489,55,43688,268.054,20,10068
2,0,4879.596,4879.596,1,0,13,21720.046,691.223,77,41777,583.590,60,41144,826.446,111,41587,424.455,50,36501,184.750,27,37825,171.129,12,44603,233.081,20,39783,164.977,15,34675,279.227,21,44602,210.779,28,28873,266.022,33,44368,286.375,51,38571,289.489,55,43688,268.054,20,10068
