attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,4762.718,4762.718,0,0,0,101.250,307.860,40,41219,292.880,35,44151,372.342,66,43980,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,347.013,25,43468,164.943,21,34211,249.222,27,38620,236.970,6,39530,286.674,19,44514,190.521,24,25034
1,1,4672.145,4672.145,0,2,8,7777.920,307.860,40,41219,291.466,36,44351,368.535,65,43780,392.712,63,44434,579.784,84,39160,528.080,73,44919,794.937,97,44825,168.809,20,33494,342.648,26,44185,249.222,27,38620,288.057,18,44459,120.857,15,19997,239.178,16,44622
2,1,4629.144,4629.144,0,0,9,15228.427,311.864,40,44312,245.807,36,41258,368.535,65,43780,392.712,63,44434,579.784,84,39160,528.080,73,44919,794.937,97,44825,168.809,20,33494,342.648,26,44185,249.222,27,38620,120.254,14,19594,287.313,19,44862,239.178,16,44622
3,1,4617.136,4617.136,0,0,1,19755.681,311.864,40,44312,245.807,36,41258,368.535,65,43780,392.712,63,44434,579.784,84,39160,528.080,73,44919,794.937,97,44825,168.809,20,33494,342.648,26,44185,244.838,31,42630,288.689,19,44875,229.126,16,44698,121.307,10,15495
4,1,4608.673,4608.673,0,0,4,22144.339,311.864,40,44312,245.807,36,41258,368.535,65,43780,392.712,63,44434,579.784,84,39160,528.080,73,44919,794.937,97,44825,168.809,20,33494,342.648,26,44185,244.838,31,42630,238.673,12,44873,270.680,23,44700,121.307,10,15495
5,0,4608.673,4608.673,1,0,2,23408.909,311.864,40,44312,245.807,36,41258,368.535,65,43780,392.712,63,44434,579.784,84,39160,528.080,73,44919,794.937,97,44825,168.809,20,33494,342.648,26,44185,244.838,31,42630,238.673,12,44873,270.680,23,44700,121.307,10,15495
