pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,35,41219,44151,154,9,10,559.086049,530.991497,0.050251,180.004,1447,1
1,2,583,35,66,41058,43980,206,9,10,601.026889,533.740522,0.111952,180.005,1,0
1,3,583,66,64,43980,44598,264,9,10,738.884429,689.712857,0.066548,180.008,1,0
1,4,581,64,83,44598,38996,298,9,10,1090.203346,858.479586,0.212551,180.012,1,0
1,5,581,83,68,38996,44894,306,9,10,1058.118702,963.764279,0.089172,180.010,1,0
1,6,591,68,102,44894,44850,344,9,10,1477.021938,1229.788469,0.167386,180.013,1,0
1,7,593,102,25,44850,43468,258,9,10,1148.512739,1042.499832,0.092305,180.010,1,0
1,8,593,25,21,43468,34211,96,9,10,511.457273,435.339153,0.148826,180.002,5246,1
1,9,593,26,27,44185,38620,110,2,10,591.869871,591.869871,0.000000,35.781,3712,0
1,10,584,27,6,38620,39530,70,9,10,472.217457,466.674110,0.011739,180.001,69281,0
1,11,584,6,19,39530,44514,54,2,10,512.324383,512.324383,0.000000,5.213,5559,1
1,12,584,18,24,44459,25034,88,9,10,477.435223,402.605706,0.156732,180.004,20693,1
2,1,588,40,35,44312,41058,154,9,10,559.086053,531.107700,0.050043,180.002,1213,0
2,7,593,102,20,44850,33494,248,9,10,992.214384,868.036932,0.125152,180.006,1,0
2,8,593,20,26,33494,44185,96,9,10,511.457258,435.881279,0.147766,180.006,2203,0
2,10,584,27,7,38620,39585,72,9,10,459.514121,447.925007,0.025220,180.002,98395,1
2,11,584,10,19,44373,44310,62,2,7,476.074820,476.074820,0.000000,1.571,129,1
2,12,584,19,23,43987,25183,88,9,10,481.676639,413.617574,0.141296,180.004,7705,1
3,1,588,40,35,44312,41058,154,9,10,559.086053,531.107700,0.050043,180.004,1216,0
3,9,593,26,24,44185,33832,104,2,10,574.910465,574.910465,0.000000,20.815,2123,0
3,10,584,24,10,33832,44696,72,9,10,427.313600,386.191203,0.096235,180.002,55411,0
3,11,584,10,20,44696,44103,64,2,3,462.255641,462.255641,0.000000,2.180,843,1
3,12,584,20,22,43990,25067,88,9,10,477.369022,419.408748,0.121416,180.002,1838,1
4,1,588,40,35,44312,41058,154,9,10,559.086053,531.107700,0.050043,180.004,1215,0
4,10,584,24,10,33832,44809,72,9,10,400.128381,364.382651,0.089336,180.004,46852,0
4,11,584,10,21,44809,25574,66,9,10,376.856052,319.643308,0.151816,180.004,47078,0
4,12,584,21,21,25574,43483,88,9,10,477.368992,419.298912,0.121646,180.002,3035,0
