attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5354.930,5354.930,0,0,0,21.966,311.303,35,43347,467.427,63,43548,784.532,88,43825,346.284,32,38138,484.122,48,42925,649.293,84,43299,487.489,79,43889,500.103,48,43418,285.287,4,41179,258.536,23,43412,187.625,23,43774,386.135,42,43750,206.794,11,13561
1,1,5056.256,5056.256,0,2,7,7476.377,311.491,36,43695,467.427,63,43548,784.532,88,43825,351.803,46,37848,318.745,31,42265,645.672,87,44249,487.489,79,43889,327.449,11,40448,440.383,41,44149,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
2,1,4946.457,4946.457,0,1,8,12750.190,305.104,34,43223,466.508,64,43374,784.532,88,43825,341.194,43,37050,322.516,34,43063,645.672,87,44249,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
3,0,4946.457,4946.457,1,0,7,18150.050,305.104,34,43223,466.508,64,43374,784.532,88,43825,341.194,43,37050,322.516,34,43063,645.672,87,44249,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
