pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,9,10,785.948904,710.548545,0.095935,60.006,1,0
1,2,581,63,88,43548,43825,306,9,10,1332.569185,1097.405894,0.176474,60.007,1,0
1,3,591,88,32,43825,38138,244,9,10,1144.688152,1014.643955,0.113607,60.010,1,0
1,4,593,33,47,38728,42335,164,9,10,788.372068,664.843638,0.156688,60.007,1,1
1,5,591,35,84,44184,43299,242,9,10,1062.661775,914.781305,0.139160,60.009,1,0
1,6,581,84,79,43299,43889,330,9,10,1202.931925,1002.869373,0.166312,60.012,1,0
1,7,583,80,48,44535,43418,260,9,8,1174.040650,866.447333,0.261995,60.005,1,0
1,8,588,48,4,43418,41179,108,9,10,693.262665,586.608962,0.153843,60.002,594,1
1,9,584,13,23,41033,43412,76,2,10,515.523981,515.523981,0.000000,54.442,12104,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,10.102,838,1
1,11,593,20,42,43883,43750,128,9,10,522.780626,489.740835,0.063200,60.010,1266,0
1,12,588,42,10,43750,13213,108,2,10,518.827647,518.827647,0.000000,40.048,3482,0
2,1,583,36,62,43695,42902,200,9,10,901.878679,712.292527,0.210212,60.007,1,0
2,2,581,62,88,42902,43825,304,9,10,1363.858656,1100.708593,0.192945,60.503,1,0
2,3,591,88,45,43825,36879,270,9,10,1195.570983,1043.881499,0.126876,60.612,1,0
2,4,593,46,34,37540,43523,164,9,10,707.868105,661.181257,0.065954,60.004,1,1
2,5,591,36,84,43521,43299,244,9,10,967.447703,906.907718,0.062577,60.016,1,1
2,6,581,85,80,44031,44535,334,9,10,1194.926155,969.371606,0.188760,60.014,1,0
2,7,583,80,39,44535,43564,242,9,10,904.742311,817.591721,0.096326,60.003,1,0
2,8,588,39,13,43564,41033,108,9,10,683.994049,587.499799,0.141075,60.002,1069,0
2,9,584,13,26,41033,43303,82,9,10,517.853421,502.078749,0.030462,60.002,32239,0
2,10,593,26,20,43303,43883,96,2,10,402.437949,402.437949,0.000000,23.403,2881,0
3,2,581,62,88,42902,43825,304,9,10,1526.814803,1097.216202,0.281369,60.006,1,0
3,3,591,88,44,43825,37542,268,9,10,1113.059165,1027.483239,0.076884,60.005,1,0
3,4,593,44,35,37542,42789,162,9,10,712.552397,659.833744,0.073986,60.006,1,0
3,5,591,35,85,42789,44031,244,9,10,1043.405165,896.854400,0.140454,60.010,1,0
