attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount,seg14_distance,seg14_stations,seg14_amount
0,0,5191.602,5191.602,0,0,0,96.160,691.223,77,41777,592.303,61,41762,830.566,111,41898,423.995,49,35572,176.149,10,41093,199.389,29,41335,234.722,16,36195,235.455,26,39192,224.049,17,34849,350.518,33,40726,279.051,25,40066,352.033,56,41421,280.892,61,41955,321.258,9,10224
1,1,4946.325,4946.325,0,4,8,9136.751,691.223,77,41777,583.590,60,41144,826.446,111,41587,424.455,50,36501,184.750,27,37825,171.129,12,44603,234.722,16,36195,230.626,26,41862,153.639,12,28134,274.325,29,41118,275.532,33,41975,356.502,58,43872,328.255,60,44774,211.130,9,6698
2,1,4851.264,4851.264,0,3,8,16026.640,691.223,77,41777,610.650,68,44615,757.618,103,38116,432.487,52,42344,159.725,22,30140,176.446,13,44908,227.338,18,37732,230.626,26,41862,154.750,12,25697,269.425,29,43555,268.726,32,44269,340.226,59,41578,70.476,9,6698,461.547,60,44774
3,1,4848.172,4848.172,0,1,13,22956.150,691.223,77,41777,610.650,68,44615,757.618,103,38116,432.487,52,42344,158.857,21,29745,176.446,13,44908,225.114,19,38127,230.626,26,41862,154.750,12,25697,269.425,29,43555,268.726,32,44269,340.226,59,41578,70.476,9,6698,461.547,60,44774
4,1,4846.738,4846.738,0,1,4,24405.641,691.223,77,41777,610.650,68,44615,757.618,103,38116,432.487,52,42344,150.326,20,29380,176.446,13,44908,232.211,20,38492,230.626,26,41862,154.750,12,25697,269.425,29,43555,268.726,32,44269,340.226,59,41578,70.476,9,6698,461.547,60,44774
5,0,4846.738,4846.738,1,0,3,24976.174,691.223,77,41777,610.650,68,44615,757.618,103,38116,432.487,52,42344,150.326,20,29380,176.446,13,44908,232.211,20,38492,230.626,26,41862,154.750,12,25697,269.425,29,43555,268.726,32,44269,340.226,59,41578,70.476,9,6698,461.547,60,44774
