pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,9,10,775.269126,770.311665,0.006395,360.008,25451,0
1,2,581,63,88,43548,43825,306,9,10,1270.577195,1139.897647,0.102851,360.015,1098,0
1,3,591,88,32,43825,38138,244,9,10,1120.964537,1060.926654,0.053559,360.008,786,0
1,4,593,33,47,38728,42335,164,9,10,705.674973,681.270105,0.034584,360.005,4085,1
1,5,591,34,84,43215,43299,240,9,10,964.417382,959.996383,0.004584,360.009,23904,0
1,6,581,84,79,43299,43889,330,9,10,1147.683953,1038.821579,0.094854,360.012,1,0
1,7,583,80,48,44535,43418,260,9,10,993.839480,898.513349,0.095917,360.006,1,1
1,8,588,48,4,44648,41179,108,9,10,671.378365,574.208253,0.144732,360.003,8306,0
1,9,584,4,23,41179,43412,58,2,10,543.823402,543.823402,0.000000,27.255,13393,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,9.724,1577,0
1,11,593,23,42,43774,43750,134,9,10,551.057172,528.097224,0.041665,360.003,38747,0
1,12,588,42,10,43750,13213,108,2,10,518.827647,518.827647,0.000000,46.880,4971,0
2,1,583,36,62,43695,42902,200,9,10,771.390637,730.395763,0.053144,360.004,14258,0
2,2,581,62,88,42902,43825,304,9,10,1248.546236,1118.210458,0.104390,360.006,1063,0
2,3,591,88,46,43825,37848,272,9,10,1109.069361,1064.976853,0.039756,360.016,1486,0
2,4,593,46,34,37848,43215,164,9,10,705.674989,680.603351,0.035529,360.005,2160,0
2,5,591,34,84,43215,43299,240,9,10,969.944796,935.009423,0.036018,360.009,1320,1
2,6,581,87,80,44249,43305,338,9,10,1125.501665,1020.322491,0.093451,360.008,1,0
2,7,583,80,48,43305,44648,260,9,10,970.738747,929.195881,0.042795,360.021,1,0
3,4,593,46,31,37848,42265,158,9,10,663.710788,657.732423,0.009007,360.006,17773,1
3,5,591,43,87,37050,44249,264,2,10,986.866501,986.866501,0.000000,244.245,12125,0
4,3,591,88,34,43825,43063,248,9,10,1091.333609,1028.783522,0.057315,360.013,1396,0
4,4,593,34,43,43063,37050,158,9,10,663.710787,641.973817,0.032751,360.006,11452,0
