attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5354.930,5354.930,0,0,0,24.182,311.303,35,43347,467.427,63,43548,784.532,88,43825,346.284,32,38138,484.122,48,42925,649.293,84,43299,487.489,79,43889,500.103,48,43418,285.287,4,41179,258.536,23,43412,187.625,23,43774,386.135,42,43750,206.794,11,13561
1,1,4971.171,4971.171,0,2,7,5463.256,311.491,36,43695,467.427,63,43548,784.532,88,43825,351.803,46,37848,328.168,32,42319,646.542,86,44195,487.489,79,43889,445.096,40,42914,227.359,12,41683,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
2,1,4960.879,4960.879,0,0,11,10507.974,311.491,36,43695,467.427,63,43548,784.532,88,43825,351.803,46,37848,318.745,31,42265,645.672,87,44249,487.489,79,43889,445.096,40,42914,227.359,12,41683,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
3,1,4954.042,4954.042,0,0,1,11837.450,311.491,36,43695,467.427,63,43548,784.532,88,43825,341.194,43,37050,322.516,34,43063,645.672,87,44249,487.489,79,43889,445.096,40,42914,227.359,12,41683,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
4,0,4954.042,4954.042,1,0,2,13050.126,311.491,36,43695,467.427,63,43548,784.532,88,43825,341.194,43,37050,322.516,34,43063,645.672,87,44249,487.489,79,43889,445.096,40,42914,227.359,12,41683,260.866,26,43303,141.572,20,43883,304.147,24,28172,214.681,28,28791
