pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,2,10,775.269106,775.269106,0.000000,411.650,18200,1
1,2,581,65,88,44020,43825,310,9,10,1260.488461,1119.142766,0.112136,480.016,233,0
1,3,591,88,32,43825,38138,244,9,10,1122.499411,1068.208139,0.048366,480.008,1652,0
1,4,593,33,47,38728,42335,164,9,10,705.674989,690.315869,0.021765,480.008,6727,1
1,5,591,34,84,43215,43299,240,9,10,964.417392,957.360892,0.007317,480.013,28667,0
1,6,581,84,79,43299,43889,330,9,10,1135.051963,1031.569137,0.091170,480.008,1,0
1,7,583,80,48,44535,43418,260,9,10,968.391251,937.388087,0.032015,480.010,549,0
1,8,588,48,4,43418,41179,108,9,10,670.302954,601.365545,0.102845,480.006,12912,1
1,9,584,11,23,40448,43412,72,2,10,480.562997,480.562997,0.000000,94.438,34215,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,10.473,1630,1
1,11,593,20,42,43883,43750,128,9,10,522.780625,504.933565,0.034139,480.004,61033,0
1,12,588,42,11,43750,13561,110,2,10,524.065397,524.065397,0.000000,53.093,2898,1
2,1,583,33,64,42875,43374,198,9,10,771.203074,769.870819,0.001728,480.010,45597,0
2,2,581,64,88,43374,43825,308,9,10,1244.684751,1143.662143,0.081163,480.015,1381,0
2,3,591,88,46,43825,37848,272,9,10,1104.055371,1062.176032,0.037932,480.010,2676,0
2,4,593,46,34,37848,43215,164,9,10,705.674988,686.456306,0.027234,480.011,10303,0
2,5,591,34,84,43215,43299,240,9,10,964.417371,956.155700,0.008566,480.007,30807,0
2,6,581,84,80,43299,44535,332,9,10,1190.296129,1029.898806,0.134754,480.011,1,0
2,7,583,80,41,44535,44149,246,9,10,913.666973,902.252862,0.012493,480.010,3108,0
2,8,588,41,11,44149,40448,108,9,10,670.302954,600.164691,0.104637,480.003,13451,0
2,9,584,11,26,40448,43303,78,2,10,482.892325,482.892325,0.000000,86.500,24887,0
2,10,593,26,20,43303,43883,96,2,10,402.437950,402.437950,0.000000,20.453,3420,0
2,11,593,20,11,43883,16274,66,2,9,331.293938,331.293938,0.000000,7.661,3902,1
2,12,588,22,40,37187,39571,128,2,10,559.082431,559.082431,0.000000,307.167,12735,0
3,1,583,34,64,43223,43374,200,2,10,771.390653,771.390653,0.000000,406.598,20484,0
3,9,584,11,27,40448,44421,80,2,5,487.176085,487.176085,0.000000,95.537,23952,0
3,10,593,27,9,44421,22970,76,2,8,353.027279,353.027279,0.000000,4.695,373,0
3,11,593,9,22,22970,37187,66,2,10,331.293934,331.293934,0.000000,8.316,1618,0
