attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,7153.905,7153.905,0,0,0,46.481,349.352,48,43996,336.889,61,43989,545.290,80,43988,1041.356,94,43986,669.603,29,43992,1049.784,83,43998,422.495,51,43988,575.621,35,43976,929.640,33,43983,501.025,25,43948,336.923,32,43908,167.548,8,34748,228.378,1,9565
1,1,6759.290,6759.290,0,5,9,2182.753,348.925,47,43577,340.038,62,44049,545.290,80,43988,1041.356,94,43986,673.699,30,44166,972.428,82,43938,420.766,53,44598,429.773,33,43081,900.516,34,44923,502.469,23,42821,332.607,33,44625,0.000,0,0,251.424,9,44313
2,1,6587.205,6587.205,0,3,8,4044.493,342.888,46,43281,340.038,62,44049,797.279,103,44678,680.057,31,44594,648.761,69,42488,959.057,81,41600,419.530,54,44894,419.211,38,44022,894.874,31,44915,503.327,22,44226,332.607,33,44625,0.000,0,0,249.576,10,44693
3,1,6564.961,6564.961,0,2,11,5813.246,342.888,46,43281,340.038,62,44049,797.279,103,44678,680.057,31,44594,639.542,68,42450,963.154,82,42824,419.530,54,44894,419.211,38,44022,893.817,30,44800,487.263,23,43155,332.607,33,44625,0.000,0,0,249.576,10,44693
4,1,6561.790,6561.790,0,0,5,6691.342,342.888,46,43281,340.038,62,44049,797.279,103,44678,680.057,31,44594,639.542,68,42450,963.154,82,42824,419.530,54,44894,419.211,38,44022,893.817,30,44800,485.402,24,44934,331.297,32,42846,0.000,0,0,249.576,10,44693
5,0,6561.790,6561.790,1,0,2,7050.444,342.888,46,43281,340.038,62,44049,797.279,103,44678,680.057,31,44594,639.542,68,42450,963.154,82,42824,419.530,54,44894,419.211,38,44022,893.817,30,44800,485.402,24,44934,331.297,32,42846,0.000,0,0,249.576,10,44693
