attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5027.031,5027.031,0,0,0,57.860,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,194.489,18,42413,290.276,33,43160,206.503,8,43286,296.931,37,37457,239.717,20,43796,296.595,37,40980,269.430,41,43652,325.105,59,43785,391.170,28,16554
1,1,4889.962,4889.962,0,3,6,2287.994,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,280.125,31,40321,193.710,13,44695,261.807,23,44547,216.641,27,33822,303.307,41,42810,246.858,40,44122,232.659,32,16651,442.936,55,43688
2,1,4839.003,4839.003,0,0,7,4287.471,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.580,32,40233,204.857,12,44783,236.622,30,33577,226.622,20,44792,292.587,40,41956,281.100,42,42171,173.782,31,19456,442.936,55,43688
3,1,4838.002,4838.002,0,1,7,5379.984,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,266.170,33,40880,204.857,12,44783,236.622,30,33577,228.031,19,44145,292.587,40,41956,281.100,42,42171,173.782,31,19456,442.936,55,43688
4,0,4838.002,4838.002,1,0,2,5806.275,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,266.170,33,40880,204.857,12,44783,236.622,30,33577,228.031,19,44145,292.587,40,41956,281.100,42,42171,173.782,31,19456,442.936,55,43688
