attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5354.930,5354.930,0,0,0,23.816,311.303,35,43347,467.427,63,43548,784.532,88,43825,346.284,32,38138,484.122,48,42925,649.293,84,43299,487.489,79,43889,500.103,48,43418,285.287,4,41179,258.536,23,43412,187.625,23,43774,386.135,42,43750,206.794,11,13561
1,1,5102.485,5102.485,0,3,9,12518.841,311.491,36,43695,461.301,62,42902,784.532,88,43825,353.872,34,43215,351.803,46,37848,649.293,84,43299,518.201,80,44549,415.969,41,44135,222.027,11,40448,258.536,23,43412,187.625,23,43774,386.135,42,43750,201.701,10,13213
2,1,5076.487,5076.487,0,0,6,22769.494,311.491,36,43695,461.301,62,42902,779.996,87,43357,359.699,48,38226,324.514,33,43305,649.293,84,43299,518.201,80,44549,415.969,41,44135,222.027,11,40448,258.536,23,43412,187.625,23,43774,386.135,42,43750,201.701,10,13213
3,1,5025.292,5025.292,0,0,2,27467.594,311.491,36,43695,461.301,62,42902,432.933,54,36906,288.479,34,44991,691.601,80,42991,649.293,84,43299,518.201,80,44549,415.969,41,44135,222.027,11,40448,258.536,23,43412,187.625,23,43774,386.135,42,43750,201.701,10,13213
4,0,5025.292,5025.292,1,0,3,29081.708,311.491,36,43695,461.301,62,42902,432.933,54,36906,288.479,34,44991,691.601,80,42991,649.293,84,43299,518.201,80,44549,415.969,41,44135,222.027,11,40448,258.536,23,43412,187.625,23,43774,386.135,42,43750,201.701,10,13213
