attempts,changed,total,best,stall,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,4762.718,4762.718,0,307.860,40,41219,292.880,35,44151,372.342,66,43980,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,347.013,25,43468,164.943,21,34211,249.222,27,38620,236.970,6,39530,286.674,19,44514,190.521,24,25034
1,1,4659.226,4659.226,0,285.031,37,40844,271.105,38,43981,340.391,66,44525,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,168.809,20,33494,342.648,26,44185,232.262,24,33832,227.252,10,44373,264.321,19,44310,213.115,23,25183
2,1,4620.555,4620.555,0,311.864,40,44312,243.673,35,40513,340.391,66,44525,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,168.809,20,33494,342.648,26,44185,232.262,24,33832,275.828,19,43987,200.070,21,25233,190.716,12,44646
3,1,4603.068,4603.068,0,311.864,40,44312,243.673,35,40513,340.391,66,44525,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,168.809,20,33494,342.648,26,44185,232.262,24,33832,189.776,18,24936,268.635,22,44284,190.716,12,44646
4,1,4601.523,4601.523,0,311.864,40,44312,243.673,35,40513,340.391,66,44525,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,168.809,20,33494,342.648,26,44185,232.262,24,33832,184.851,20,24860,272.923,21,44879,189.808,11,44127
5,0,4601.523,4601.523,1,311.864,40,44312,243.673,35,40513,340.391,66,44525,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,168.809,20,33494,342.648,26,44185,232.262,24,33832,184.851,20,24860,272.923,21,44879,189.808,11,44127
