attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,4762.172,4762.172,0,0,0,45.049,335.968,40,44394,229.769,6,28261,199.680,10,44991,266.602,34,44676,168.124,14,36579,456.382,45,44719,988.065,121,44241,422.818,53,44993,637.563,88,44749,286.267,63,44747,344.073,53,42140,282.520,33,44937,144.339,20,18638
1,1,4538.630,4538.630,0,0,8,5112.142,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,425.958,48,38164,917.748,123,44991,418.428,51,44243,637.563,88,44749,285.792,54,42057,335.267,62,44830,282.520,33,44937,144.339,20,18638
2,1,4524.493,4524.493,0,1,6,9627.754,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,430.251,49,39141,912.881,122,44014,418.428,51,44243,637.563,88,44749,283.019,62,44319,273.320,41,43303,335.597,47,44913,142.418,19,17927
3,1,4502.906,4502.906,0,2,8,14570.043,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,431.208,50,39341,910.812,121,43814,417.875,52,44408,627.338,87,44584,283.019,62,44319,310.572,48,44361,290.278,41,44102,140.789,18,17680
4,1,4489.786,4489.786,0,3,10,19868.046,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,430.402,51,41308,908.234,120,41847,418.256,53,44764,621.098,87,44874,279.143,61,43673,310.572,48,44361,290.278,41,44102,140.789,18,17680
5,1,4484.448,4484.448,0,0,4,22214.568,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,444.747,57,44410,888.550,114,38745,418.256,53,44764,621.098,87,44874,279.143,61,43673,310.572,48,44361,290.278,41,44102,140.789,18,17680
6,0,4484.448,4484.448,1,0,2,23287.930,255.584,22,44239,210.558,24,28416,199.680,10,44991,266.602,34,44676,158.591,11,43134,444.747,57,44410,888.550,114,38745,418.256,53,44764,621.098,87,44874,279.143,61,43673,310.572,48,44361,290.278,41,44102,140.789,18,17680
