attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,4762.718,4762.718,0,0,0,99.722,307.860,40,41219,292.880,35,44151,372.342,66,43980,398.135,64,44598,576.292,83,38996,521.850,68,44894,818.017,102,44850,347.013,25,43468,164.943,21,34211,249.222,27,38620,236.970,6,39530,286.674,19,44514,190.521,24,25034
1,1,4679.187,4679.187,0,3,9,3983.853,307.860,40,41219,291.466,36,44351,368.535,65,43780,392.712,63,44434,578.389,83,39055,521.034,69,44999,818.017,102,44850,168.809,20,33494,342.648,26,44185,249.222,27,38620,288.057,18,44459,181.229,13,44330,171.209,18,20289
2,1,4627.661,4627.661,0,1,9,7269.681,307.860,40,41219,291.466,36,44351,397.630,83,44588,346.122,45,43626,578.389,83,39055,521.034,69,44999,815.206,103,44996,137.770,20,32658,342.467,25,44875,249.222,27,38620,288.057,18,44459,181.229,13,44330,171.209,18,20289
3,0,4627.661,4627.661,1,0,6,9458.454,307.860,40,41219,291.466,36,44351,397.630,83,44588,346.122,45,43626,578.389,83,39055,521.034,69,44999,815.206,103,44996,137.770,20,32658,342.467,25,44875,249.222,27,38620,288.057,18,44459,181.229,13,44330,171.209,18,20289
