pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,9,10,775.269125,741.666651,0.043343,240.007,1612,0
1,2,581,63,88,43548,43825,306,9,10,1266.801539,1123.307896,0.113272,240.009,161,0
1,3,591,88,32,43825,38138,244,9,10,1124.144916,1052.838910,0.063431,240.004,1112,0
1,4,593,33,47,38728,42335,164,9,10,705.674989,680.656170,0.035454,240.007,494,1
1,5,591,34,84,43215,43299,240,9,10,1037.940297,924.867588,0.108940,240.006,12,1
1,6,581,86,79,44195,43889,334,9,10,1165.227374,1029.720224,0.116292,240.025,1,0
1,7,583,79,48,43889,43418,258,9,10,994.968443,884.479152,0.111048,240.004,1,0
1,8,588,48,4,43418,41179,108,9,10,672.454622,595.227437,0.114844,240.003,2886,1
1,9,584,12,23,41683,43412,74,2,10,485.895247,485.895247,0.000000,91.531,38663,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,13.076,257,1
1,11,593,20,42,43883,43750,128,9,10,522.780588,504.843688,0.034311,240.003,25877,0
1,12,588,42,10,43750,13213,108,2,10,518.827647,518.827647,0.000000,39.517,2850,1
2,1,583,36,63,43695,43548,202,9,10,775.456692,743.803985,0.040818,240.005,2740,0
2,2,581,63,88,43548,43825,306,9,10,1269.294035,1113.322284,0.122881,240.011,9,0
2,3,591,88,46,43825,37848,272,9,10,1102.768222,1058.895927,0.039784,240.006,1100,0
2,4,593,46,32,37848,42319,160,9,10,680.640294,646.221918,0.050568,240.003,342,0
2,5,591,32,86,42319,44195,240,9,10,964.417397,930.949112,0.034703,240.006,1085,1
2,6,581,87,79,44249,43889,336,9,10,1111.444674,1024.673592,0.078071,240.006,1,0
2,7,583,79,40,43889,42914,242,9,10,929.387035,814.100316,0.124046,240.007,1,0
2,8,588,40,12,42914,41683,108,9,10,671.799745,596.950641,0.111416,240.005,3100,0
2,9,584,12,26,41683,43303,80,2,8,488.224650,488.224650,0.000000,65.088,14333,0
2,10,593,26,20,43303,43883,96,2,10,402.437945,402.437946,0.000000,11.628,1429,0
2,11,593,20,24,43883,28172,92,2,10,432.260749,432.260749,0.000000,11.721,3064,0
2,12,588,24,28,28172,28791,108,2,10,518.827647,518.827647,0.000000,33.064,3161,0
3,4,593,46,31,37848,42265,158,9,10,663.710779,655.808232,0.011907,240.004,6715,1
3,5,591,34,87,43063,44249,246,9,10,963.640713,927.063370,0.037957,240.017,1419,0
4,3,591,88,43,43825,37050,266,9,10,1110.866471,1053.002258,0.052089,240.007,1153,0
4,4,593,43,34,37050,43063,158,9,10,663.710787,642.344309,0.032192,240.005,3853,0
