pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,35,41219,44151,154,9,10,559.086053,532.800289,0.047016,300.005,2419,0
1,2,583,36,65,44351,43780,206,9,10,679.409189,568.511352,0.163227,300.006,22,0
1,3,583,65,64,43780,44598,262,9,10,733.891555,699.917048,0.046294,300.006,1,0
1,4,581,64,83,44598,38996,298,9,9,1170.361338,858.519217,0.266449,300.005,1,0
1,5,581,83,68,38996,44894,306,9,10,1095.965446,980.793405,0.105087,300.007,1,0
1,6,591,68,102,44894,44850,344,9,10,1477.665196,1235.492194,0.163889,300.017,1,1
1,7,593,97,25,44825,43468,248,9,10,1160.114969,1021.167823,0.119770,300.009,2,0
1,8,593,25,21,43468,34211,96,9,10,511.457261,437.809884,0.143995,300.004,12033,1
1,9,593,26,27,44185,38620,110,2,10,591.869870,591.869870,0.000000,34.172,3310,0
1,10,584,27,6,38620,39530,70,9,10,472.217457,437.396232,0.073740,300.001,77143,0
1,11,584,6,19,39530,44514,54,2,7,512.324383,512.324383,0.000000,9.415,4356,1
1,12,584,7,24,39585,25034,66,9,10,360.035145,306.383062,0.149019,300.001,84386,1
2,1,588,40,36,41219,44351,156,9,10,557.671637,536.670240,0.037659,300.006,7230,1
2,2,583,36,65,41258,43780,206,9,10,592.031782,536.963903,0.093015,300.010,15,0
2,3,583,65,63,43780,44434,260,9,0,nan,683.585469,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,300.004,1,0
2,4,581,63,84,44434,39160,298,9,10,1147.841319,855.057212,0.255074,300.007,1,0
2,5,581,84,73,39160,44919,318,9,10,1076.095181,993.313933,0.076927,304.271,1,0
2,6,591,73,97,44919,44825,344,9,10,1429.778709,1237.109477,0.134755,300.012,1,0
2,7,593,97,20,44825,33494,238,9,10,981.596091,847.341275,0.136772,300.005,1,0
2,8,593,20,26,33494,44185,96,9,10,511.457268,433.663613,0.152102,300.004,24654,0
2,10,584,27,18,38620,44459,94,2,6,537.278902,537.278902,0.000000,14.202,1810,0
2,11,584,18,15,44459,19997,70,9,10,407.567680,360.488973,0.115511,300.003,85970,1
2,12,584,19,16,44862,44622,74,2,10,526.491353,526.491353,0.000000,164.578,183392,0
3,1,588,40,36,44312,41258,156,9,10,557.671636,532.678282,0.044817,300.004,6694,0
3,10,584,27,14,38620,19594,86,9,10,365.056139,314.815394,0.137625,300.003,52457,1
3,11,584,10,19,15584,44862,62,9,5,407.465326,367.953628,0.096969,300.002,100238,1
3,12,584,10,16,15571,44622,56,9,10,350.432407,320.620756,0.085071,300.002,129381,1
4,1,588,40,36,44312,41258,156,9,10,558.269504,532.426841,0.046291,300.007,7215,0
4,9,593,26,31,44185,42630,118,2,10,587.485901,587.485901,0.000000,15.629,658,0
4,10,584,31,19,42630,44875,104,2,10,533.526659,533.526659,0.000000,24.241,1927,0
4,11,584,19,16,44875,44698,74,2,4,509.352112,509.352112,0.000000,7.796,2743,1
4,12,584,23,10,44700,15495,70,9,10,391.985740,371.638347,0.051909,300.004,139621,0
5,10,584,31,12,42630,44873,90,9,4,507.319646,440.678406,0.131359,300.004,40319,0
5,11,584,12,23,44873,44700,74,2,6,509.352112,509.352112,0.000000,11.345,5549,0
