attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,6911.672,6911.672,0,0,0,28.926,352.260,43,41997,423.099,61,42000,498.148,72,41997,670.175,78,42000,594.025,70,41993,889.406,41,41991,837.019,87,41965,238.478,31,41996,588.325,33,41970,494.126,29,41999,753.918,16,41921,378.252,17,41381,194.443,2,24855
1,1,6610.302,6610.302,0,1,6,6241.117,352.260,43,41997,420.871,62,42432,455.152,67,44316,650.663,82,39249,584.248,67,39682,820.556,45,44493,837.019,87,41965,565.830,38,44413,236.347,26,39553,494.126,29,41999,731.069,21,43980,270.903,10,27563,191.258,3,36423
2,1,6468.515,6468.515,0,5,10,11019.021,314.981,42,41945,421.905,63,42484,348.461,52,44259,732.821,97,39306,580.701,66,39263,823.084,46,44912,837.019,87,41965,552.838,38,44500,257.582,30,44363,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
