pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,35,41219,44151,154,9,10,559.683955,526.387370,0.059492,120.014,997,1
1,2,583,38,66,44526,43980,212,9,2,728.735802,555.342011,0.237938,120.005,1,0
1,3,583,66,64,43980,44598,264,9,10,903.450344,689.810239,0.236471,120.020,1,0
1,4,581,64,83,44598,38996,298,9,10,1112.464813,855.416670,0.231062,120.012,1,0
1,5,581,83,68,38996,44894,306,9,10,1423.192897,955.141606,0.328874,120.010,1,0
1,6,591,68,102,44894,44850,344,9,10,1619.811460,1223.928626,0.244401,120.006,1,0
1,7,593,102,25,44850,43468,258,9,10,1178.541257,1039.845442,0.117684,120.021,1,0
1,8,593,25,21,43468,34211,96,9,10,511.457257,431.244508,0.156832,120.003,2258,1
1,9,593,26,27,44185,38620,110,2,10,591.869872,591.869872,0.000000,41.547,4594,0
1,10,584,27,6,38620,39530,70,9,10,472.217457,435.941494,0.076820,120.003,39130,0
1,11,584,6,19,39530,44514,54,2,10,512.324383,512.324383,0.000000,8.804,5151,1
1,12,584,7,24,39585,25034,66,9,10,353.792357,302.851401,0.143985,120.003,32222,1
2,1,588,37,38,40844,44526,154,9,10,559.086053,528.924203,0.053948,120.002,1171,1
2,2,583,35,66,41058,43980,206,9,10,591.843132,533.834590,0.098013,120.013,1,0
2,3,583,66,63,43980,44434,262,9,10,734.532217,679.797175,0.074517,120.008,1,0
2,4,581,63,83,44434,39055,296,9,10,1125.574850,833.582025,0.259417,120.007,1,1
2,5,581,77,69,38942,44999,296,9,10,1074.053988,916.296132,0.146881,120.006,1,0
2,6,591,69,102,44999,44850,346,9,10,1528.099496,1224.742977,0.198519,120.011,1,0
2,7,593,103,20,44996,33494,250,9,10,988.209826,861.621867,0.128098,120.018,1,0
2,8,593,20,25,33494,44039,94,9,10,480.236237,427.255580,0.110322,120.002,8268,1
2,9,593,25,27,44875,38620,108,2,10,591.688197,591.688197,0.000000,44.488,7404,0
2,10,584,27,18,38620,44459,94,2,10,537.278902,537.278902,0.000000,27.597,8477,0
2,11,584,18,20,44459,22262,80,9,10,446.881575,373.642205,0.163890,120.002,10041,1
2,12,584,20,11,42939,42357,66,2,2,455.699679,455.699679,0.000000,2.458,2065,0
3,1,588,40,35,44312,41058,154,9,10,559.086052,525.483926,0.060102,120.004,844,0
3,2,583,36,65,41258,43780,206,9,10,601.874630,530.519862,0.118554,120.007,1,0
3,3,583,65,68,43780,44015,270,9,10,937.153222,709.440347,0.242984,120.007,1,0
3,4,581,68,78,44015,39474,296,9,10,1100.931510,833.454231,0.242955,120.007,1,0
3,5,581,78,69,39474,44999,298,9,10,1098.875639,910.364894,0.171549,121.337,1,0
3,6,591,69,103,44999,44996,348,9,10,1588.334687,1219.678023,0.232103,120.016,1,0
3,7,593,103,20,44996,32658,250,9,10,960.514714,845.180307,0.120076,120.005,1,0
3,8,593,20,25,32658,44875,94,9,10,480.236237,426.584602,0.111719,120.008,13775,0
3,10,584,27,17,38620,23135,92,9,10,427.338636,380.949349,0.108554,120.003,8947,0
3,11,584,17,20,23135,42939,78,9,7,450.509485,374.971146,0.167673,120.002,5716,0
3,12,584,20,12,42939,43004,68,2,3,453.288843,453.288843,0.000000,1.501,62,0
4,1,588,40,36,44312,41258,156,9,10,558.299498,525.065653,0.059527,120.002,618,0
