pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,6,44394,28261,96,9,10,464.177107,430.953550,0.071575,60.003,1370,1
1,2,584,25,10,29538,44991,74,9,10,415.364197,374.433601,0.098541,60.004,12291,1
1,3,584,18,34,43108,44676,108,2,10,443.185987,443.185987,0.000000,46.003,6732,1
1,4,593,34,14,43408,36579,100,9,10,401.913252,395.452312,0.016075,60.002,4769,1
1,5,593,17,45,41515,44719,128,9,10,584.877190,525.267801,0.101918,60.009,1494,1
1,6,591,49,121,42043,44241,344,9,10,1639.801398,1259.426964,0.231964,60.012,1,1
1,7,582,118,53,43072,44993,346,9,9,1679.056032,1177.199554,0.298892,60.024,1,0
1,8,581,53,88,44993,44749,286,9,8,1234.150276,892.713682,0.276657,60.007,1,0
1,9,583,88,63,44749,44747,306,9,6,1048.212083,808.531008,0.228657,60.008,1,0
1,10,583,63,53,44747,42140,236,9,9,757.993803,576.013356,0.240082,60.007,1,0
1,11,588,53,33,42140,44937,176,9,2,689.929150,562.670015,0.184452,60.004,1,0
1,12,588,33,20,44937,18638,110,9,10,431.808975,398.299407,0.077603,60.002,411,0
2,1,588,21,17,43117,31421,80,2,10,443.222341,443.222341,0.000000,37.440,6486,1
2,2,584,19,18,40860,44376,78,2,2,420.625524,420.625524,0.000000,2.468,275,0
2,3,584,18,31,44376,38472,102,9,10,424.478444,408.665050,0.037254,60.003,4016,0
2,4,593,31,13,38472,44191,92,2,10,391.985751,391.985751,0.000000,41.049,6344,0
2,5,593,13,52,44191,43212,134,9,10,567.426367,519.562389,0.084353,60.005,1200,0
2,6,591,53,117,43388,42896,344,9,6,1673.309041,1266.007391,0.243411,60.006,1,0
2,7,582,117,53,42896,44993,344,9,1,202333.231530,1175.794087,0.994189,60.035,1,0
2,12,588,33,20,44937,18638,110,9,10,428.987937,398.992881,0.069921,60.002,986,0
3,1,588,19,19,33678,40860,80,2,10,443.222356,443.222356,0.000000,47.752,7611,0
3,4,593,31,13,38472,44191,92,2,10,391.985751,391.985751,0.000000,54.706,7796,0
3,5,593,13,53,44191,43388,136,9,10,566.294726,522.774919,0.076850,60.006,1182,0
