pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,43,61,41997,42000,212,9,10,727.269839,693.754428,0.046084,60.004,1,0
1,2,581,61,72,42000,41997,270,9,10,924.754270,860.164358,0.069845,60.005,1,0
1,3,591,72,78,41997,42000,304,9,9,1326.945401,979.913540,0.261527,60.007,1,1
1,4,581,90,70,40280,41993,324,9,5,1383.923898,1025.305234,0.259132,60.012,1,0
1,5,583,70,41,41993,41991,226,9,10,1400.042127,1338.492016,0.043963,60.017,1,1
1,6,591,40,87,44082,41965,258,9,2,208105.674293,1356.389218,0.993482,60.014,1,0
1,7,593,87,31,41965,41996,240,9,10,1096.958765,989.127702,0.098300,60.006,1,0
1,8,584,31,33,41996,41970,132,9,10,849.729852,724.802894,0.147020,60.003,2094,1
1,9,593,29,29,44883,41999,120,9,10,771.773897,702.322266,0.089990,60.004,1564,0
1,10,591,29,16,41999,41921,94,9,10,1139.553927,1057.415128,0.072080,60.004,1377,0
1,11,588,17,17,42007,41381,72,9,10,1035.063258,959.155330,0.073337,60.001,12308,0
1,12,584,17,2,41381,24855,42,2,10,542.993533,542.993533,0.000000,0.468,1,1
2,1,583,42,62,41945,42052,212,9,10,733.673021,698.309069,0.048201,60.003,1,0
2,2,581,62,60,42052,43717,248,9,8,892.987763,810.838037,0.091994,60.009,1,0
2,3,591,60,90,43717,40280,304,9,6,1260.510449,980.263361,0.222328,60.010,1,0
2,4,581,91,69,42066,38030,324,9,2,1415.257706,1063.054416,0.248862,60.011,1,1
2,5,583,73,40,41470,44082,230,9,10,1330.529987,1279.256456,0.038536,60.008,1,0
2,7,593,87,35,41965,39083,248,9,10,1188.545209,1084.527279,0.087517,60.013,1,0
2,8,584,35,29,39083,44883,132,9,10,879.262842,726.650089,0.173569,60.005,611,0
2,9,593,29,28,44883,41077,118,9,10,770.776279,698.603921,0.093636,60.006,1247,0
2,10,591,28,18,41077,42929,96,9,10,1152.586425,1068.398563,0.073043,60.002,1549,0
2,11,588,18,16,42929,29813,72,2,10,979.038890,979.038890,0.000000,3.885,368,1
2,12,584,21,3,34286,36423,52,2,10,555.098165,555.098165,0.000000,0.893,1,0
3,2,581,62,60,42052,43717,248,9,0,nan,0.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,60.003,1,0
3,3,591,60,87,43717,38626,298,9,10,1143.014353,843.227639,0.262277,60.012,1,1
3,4,581,74,73,40179,41470,298,9,10,1043.972581,958.418559,0.081950,60.004,1,0
3,7,593,87,34,41965,38805,246,9,10,1217.733427,1033.320920,0.151439,60.014,1,0
3,8,584,34,29,38805,44883,130,9,10,807.957793,697.201494,0.137082,60.002,1154,1
3,9,593,27,28,43528,41077,114,9,10,752.126979,705.555440,0.061920,60.004,2432,1
3,10,591,26,13,40268,38456,82,9,10,961.009943,934.240903,0.027855,60.003,17400,0
3,11,588,13,22,38456,34564,74,2,7,981.226361,981.226361,0.000000,8.041,2877,0
