attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,6911.672,6911.672,0,0,0,28.926,352.260,43,41997,423.099,61,42000,498.148,72,41997,670.175,78,42000,594.025,70,41993,889.406,41,41991,837.019,87,41965,238.478,31,41996,588.325,33,41970,494.126,29,41999,753.918,16,41921,378.252,17,41381,194.443,2,24855
1,1,6610.302,6610.302,0,1,6,6241.117,352.260,43,41997,420.871,62,42432,455.152,67,44316,650.663,82,39249,584.248,67,39682,820.556,45,44493,837.019,87,41965,565.830,38,44413,236.347,26,39553,494.126,29,41999,731.069,21,43980,270.903,10,27563,191.258,3,36423
2,1,6468.515,6468.515,0,5,10,11019.021,314.981,42,41945,421.905,63,42484,348.461,52,44259,732.821,97,39306,580.701,66,39263,823.084,46,44912,837.019,87,41965,552.838,38,44500,257.582,30,44363,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
3,1,6438.616,6438.616,0,1,10,16597.454,314.981,42,41945,421.905,63,42484,348.461,52,44259,734.292,98,41092,606.384,69,37434,774.644,42,44955,837.019,87,41965,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
4,1,6433.035,6433.035,0,1,7,20399.357,314.981,42,41945,421.905,63,42484,348.461,52,44259,742.115,99,41191,606.384,69,37434,774.644,42,44955,823.615,86,41866,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
5,1,6295.021,6295.021,0,0,2,22480.067,314.981,42,41945,421.905,63,42484,356.885,51,41573,644.455,99,42770,557.605,70,38541,774.644,42,44955,823.615,86,41866,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
6,1,6278.323,6278.323,0,0,2,24073.349,314.981,42,41945,421.905,63,42484,523.871,76,39477,460.772,74,44866,557.605,70,38541,774.644,42,44955,823.615,86,41866,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
7,1,6263.959,6263.959,0,0,2,25257.950,314.981,42,41945,421.905,63,42484,396.198,62,40538,574.081,88,43805,557.605,70,38541,774.644,42,44955,823.615,86,41866,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
8,0,6263.959,6263.959,1,0,2,25865.606,314.981,42,41945,421.905,63,42484,396.198,62,40538,574.081,88,43805,557.605,70,38541,774.644,42,44955,823.615,86,41866,573.309,40,44365,228.499,28,44498,412.122,23,35902,727.212,22,44902,268.532,11,27841,191.258,3,36423
