pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,48,61,43996,43989,222,9,10,660.845660,648.037893,0.019381,360.014,15576,0
1,2,581,61,80,43989,43988,286,9,10,873.511658,828.802455,0.051183,360.007,2299,0
1,3,591,80,94,43988,43986,352,9,10,1579.032719,1323.799715,0.161639,360.016,1,0
1,4,593,94,29,43986,43992,250,9,10,1669.235422,1450.225321,0.131204,360.015,1803,1
1,5,591,92,82,44570,43938,352,9,10,2426.221366,1459.512209,0.398442,360.040,1,1
1,6,583,90,51,44264,43988,286,9,10,1592.208911,1162.071887,0.270151,360.019,223,0
1,7,588,52,34,44179,43785,176,9,10,832.237810,821.252263,0.013200,360.003,305,1
1,8,581,48,33,44307,43983,166,9,10,1345.836698,1191.763676,0.114481,360.006,3670,1
1,9,591,31,25,44270,43948,116,9,10,1356.162209,1233.083944,0.090755,360.004,53920,0
1,10,593,25,32,43948,43908,118,9,10,834.823106,764.611592,0.084103,360.003,59185,1
1,11,584,33,8,43563,34748,86,2,10,439.426473,439.426473,0.000000,7.737,189,1
1,12,584,17,1,42341,9565,40,9,10,363.104930,347.030962,0.044268,360.002,475424,1
2,1,583,48,62,43996,44049,224,9,10,668.630445,649.532416,0.028563,360.010,6780,0
2,2,581,62,80,44049,43988,288,9,10,874.698702,835.000546,0.045385,360.012,2427,0
2,3,591,80,31,43988,43408,226,9,10,1175.995377,1055.877176,0.102142,360.013,1106,0
2,4,593,31,84,43408,44244,234,9,10,1360.117127,865.627323,0.363564,360.005,1129,1
2,5,591,36,90,44596,44264,256,9,10,1695.957444,1166.291473,0.312311,360.013,1123,1
2,6,583,40,38,44672,43657,160,9,10,950.911028,921.463725,0.030967,360.004,9854,1
2,7,588,36,50,43380,44020,176,9,10,809.518584,729.614651,0.098705,360.003,1152,0
2,8,581,50,31,44020,44270,166,9,10,1328.721329,1192.774594,0.102314,360.024,2467,1
2,9,591,32,24,44934,44293,116,9,10,1426.259186,1236.892935,0.132771,360.006,47150,0
2,10,593,25,24,44331,35970,102,9,10,766.431147,720.146456,0.060390,360.005,97438,0
2,11,584,24,9,35970,6980,70,2,10,327.576072,327.576072,0.000000,14.974,3431,0
2,12,584,10,9,8086,44926,42,9,10,360.085935,332.611824,0.076299,360.003,297211,1
3,1,583,48,62,43996,44049,224,9,10,665.124997,652.777839,0.018564,360.006,18483,0
3,2,581,62,79,44049,43950,286,9,10,865.479246,824.667203,0.047155,360.007,2336,0
3,3,591,79,79,43950,43056,320,9,10,1239.854625,1183.759980,0.045243,360.024,852,0
3,4,593,80,86,44941,44188,336,9,10,1786.404324,1524.988744,0.146336,360.010,1,0
3,5,591,87,42,44362,44949,262,9,10,1628.649883,1169.806292,0.281732,360.006,947,0
3,6,583,42,36,44949,43380,160,9,10,950.911028,924.563857,0.027707,360.004,17969,0
3,7,588,36,49,43380,43356,174,2,10,712.393264,712.393264,0.000000,234.182,41273,1
3,8,581,50,30,44712,43654,164,9,10,1350.899933,1188.615048,0.120131,360.010,3036,0
3,9,591,31,24,44073,42446,114,9,10,1390.253992,1205.413091,0.132955,360.003,63172,1
3,10,593,23,24,41725,35970,98,2,10,717.123444,717.123444,0.000000,128.381,39672,1
3,11,584,24,10,32956,11740,72,2,10,300.501722,300.501722,0.000000,5.001,110,1
4,1,583,47,61,43577,43885,220,9,10,650.709092,635.633342,0.023168,360.007,16845,0
4,2,581,61,79,43885,43950,284,9,10,850.707539,807.785624,0.050454,360.009,7,0
4,3,591,79,80,43950,44941,322,9,10,1252.095939,1190.926162,0.048854,360.009,466,0
4,4,593,80,88,44941,44526,340,9,10,1761.023871,1560.613242,0.113803,360.011,115,0
4,5,591,88,42,44526,44949,264,9,10,1660.694826,1103.888807,0.335285,360.009,646,0
4,6,583,42,35,44949,42024,158,9,10,942.581964,916.647148,0.027515,360.007,10725,0
4,7,588,35,50,42024,44712,174,2,10,712.393243,712.393243,0.000000,256.791,53267,0
4,8,581,50,32,44712,44794,168,9,10,1321.413351,1200.287581,0.091664,360.015,3097,1
4,9,591,31,23,44964,44739,112,9,10,1331.250198,1270.493138,0.045639,360.003,119255,1
4,10,593,22,34,44741,44696,116,9,10,778.673533,755.629813,0.029594,360.002,34001,0
5,7,588,35,51,42024,44542,176,2,10,750.146925,750.146925,0.000000,340.008,54746,0
5,8,581,51,32,44542,44962,170,9,10,1328.975327,1181.811380,0.110735,360.009,3678,1
5,9,591,31,22,44661,44741,110,9,10,1327.239427,1254.878312,0.054520,360.002,100892,0
6,7,588,35,52,42024,44843,178,9,10,761.288726,756.328701,0.006515,360.002,16911,0
6,8,581,52,31,44843,44661,170,9,10,1343.582501,1184.269940,0.118573,360.005,2812,0
