pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,6,44394,28261,96,9,10,464.177099,455.076265,0.019606,420.007,82282,1
1,2,584,25,10,29538,44991,74,9,10,415.364209,382.536390,0.079034,420.004,140790,0
1,3,584,10,34,44991,44676,92,2,10,466.282536,466.282536,0.000000,28.803,7434,0
1,4,593,34,14,44676,36579,100,2,10,419.702735,419.702735,0.000000,103.977,16448,0
1,5,593,14,45,36579,44719,122,9,10,584.549168,553.619216,0.052912,420.003,60719,1
1,6,591,48,121,38164,44241,342,9,10,1467.574779,1303.334104,0.111913,420.016,1,1
1,7,582,117,53,43298,44993,344,9,10,1337.950004,1176.034920,0.121017,420.011,1,0
1,8,581,53,88,44993,44749,286,9,10,1073.418308,920.438617,0.142516,420.024,12,0
1,9,583,88,63,44749,44747,306,9,10,960.595919,831.544702,0.134345,420.022,1,0
1,10,583,63,53,44747,42140,236,9,10,617.488487,604.452312,0.021112,420.007,379,0
1,11,588,53,33,42140,44937,176,9,10,613.614161,576.689793,0.060175,420.006,254,0
1,12,588,33,20,44937,18638,110,9,10,426.859040,416.704978,0.023788,420.003,109062,0
2,1,588,21,25,43117,29538,96,9,10,464.177111,451.733404,0.026808,420.002,41166,0
2,4,593,34,11,44676,43134,94,2,10,425.193282,425.193282,0.000000,371.790,30890,0
2,5,593,11,52,43134,39107,130,9,10,609.617111,582.666867,0.044208,420.009,58457,0
2,6,591,52,117,39107,43298,342,9,10,1465.727818,1295.200777,0.116343,420.006,1,0
