attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5027.031,5027.031,0,0,0,55.805,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,194.489,18,42413,290.276,33,43160,206.503,8,43286,296.931,37,37457,239.717,20,43796,296.595,37,40980,269.430,41,43652,325.105,59,43785,391.170,28,16554
1,1,4859.096,4859.096,0,1,6,7592.124,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,192.443,21,44850,265.479,29,39898,254.977,33,36873,193.710,13,44695,239.717,20,43796,260.633,29,44893,301.896,54,39956,199.181,27,15670,434.246,55,44452
2,1,4850.068,4850.068,0,1,10,13906.321,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,192.443,21,44850,265.479,29,39898,257.981,34,39273,193.710,13,44695,236.368,19,41396,302.549,42,40487,251.297,41,44362,199.181,27,15670,434.246,55,44452
3,0,4850.068,4850.068,1,0,4,16026.533,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,192.443,21,44850,265.479,29,39898,257.981,34,39273,193.710,13,44695,236.368,19,41396,302.549,42,40487,251.297,41,44362,199.181,27,15670,434.246,55,44452
