attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5354.930,5354.930,0,0,0,22.782,311.303,35,43347,467.427,63,43548,784.532,88,43825,346.284,32,38138,484.122,48,42925,649.293,84,43299,487.489,79,43889,500.103,48,43418,285.287,4,41179,258.536,23,43412,187.625,23,43774,386.135,42,43750,206.794,11,13561
1,1,5155.152,5155.152,0,3,9,5912.775,311.491,36,43695,461.301,62,42902,784.532,88,43825,365.377,47,38508,340.863,33,42555,649.293,84,43299,489.361,80,44535,332.782,12,41683,429.877,40,42914,260.866,26,43303,141.572,20,43883,386.135,42,43750,201.701,10,13213
2,1,5062.230,5062.230,0,0,8,11081.437,311.491,36,43695,461.301,62,42902,784.532,88,43825,351.803,46,37848,353.872,34,43215,649.293,84,43299,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,386.135,42,43750,201.701,10,13213
3,1,5021.537,5021.537,0,0,3,13702.459,311.491,36,43695,461.301,62,42902,423.219,53,37472,338.077,39,43132,688.219,76,44284,649.293,84,43299,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,386.135,42,43750,201.701,10,13213
4,1,5012.521,5012.521,0,1,3,15030.715,311.491,36,43695,461.301,62,42902,416.622,52,36665,335.657,40,43939,688.219,76,44284,649.293,84,43299,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,386.135,42,43750,201.701,10,13213
5,0,5012.521,5012.521,1,0,3,16035.265,311.491,36,43695,461.301,62,42902,416.622,52,36665,335.657,40,43939,688.219,76,44284,649.293,84,43299,489.361,80,44535,448.276,41,44149,222.027,11,40448,260.866,26,43303,141.572,20,43883,386.135,42,43750,201.701,10,13213
