attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5027.031,5027.031,0,0,0,54.882,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,194.489,18,42413,290.276,33,43160,206.503,8,43286,296.931,37,37457,239.717,20,43796,296.595,37,40980,269.430,41,43652,325.105,59,43785,391.170,28,16554
1,1,4843.904,4843.904,0,2,7,4104.255,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,280.125,31,40321,196.537,13,44520,182.265,20,36556,279.070,33,44288,296.595,37,40980,291.939,44,44456,162.535,29,15847,442.920,55,43688
2,1,4787.434,4787.434,0,0,7,8004.187,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.809,33,39968,189.362,11,44873,189.897,21,36812,270.794,32,44032,295.696,38,41986,280.977,43,43450,289.489,55,43688,290.491,29,15847
3,1,4772.283,4772.283,0,1,7,10942.400,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.871,32,39037,189.362,11,44873,189.645,22,37743,263.495,29,41732,289.557,39,42788,279.454,45,44948,289.489,55,43688,290.491,29,15847
4,1,4751.567,4751.567,0,0,5,13003.570,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,159.743,14,38778,283.514,37,44686,189.362,11,44873,189.645,22,37743,263.495,29,41732,289.557,39,42788,279.454,45,44948,289.489,55,43688,290.491,29,15847
5,0,4751.567,4751.567,1,0,2,13735.298,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,159.743,14,38778,283.514,37,44686,189.362,11,44873,189.645,22,37743,263.495,29,41732,289.557,39,42788,279.454,45,44948,289.489,55,43688,290.491,29,15847
