attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,5027.031,5027.031,0,0,0,54.846,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,194.489,18,42413,290.276,33,43160,206.503,8,43286,296.931,37,37457,239.717,20,43796,296.595,37,40980,269.430,41,43652,325.105,59,43785,391.170,28,16554
1,1,4868.316,4868.316,0,2,6,10053.513,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,267.997,29,39432,198.348,14,44475,230.716,29,37531,221.868,22,41947,331.110,52,44365,230.763,29,42567,232.659,32,16651,442.936,55,43688
2,1,4784.288,4784.288,0,1,9,18746.642,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.871,32,39037,188.271,11,44870,230.716,29,37531,221.868,22,41947,334.848,53,44844,230.763,29,42567,289.489,55,43688,307.544,31,16172
3,1,4776.274,4776.274,0,0,6,23127.408,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.871,32,39037,188.271,11,44870,230.716,29,37531,221.868,22,41947,304.673,45,43574,252.924,37,43837,289.489,55,43688,307.544,31,16172
4,1,4773.525,4773.525,0,0,2,25509.633,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.871,32,39037,188.271,11,44870,230.716,29,37531,221.868,22,41947,241.260,30,44790,309.885,53,44516,293.193,54,41793,307.544,31,16172
5,0,4773.525,4773.525,1,0,3,27320.411,813.785,87,43418,451.872,58,43833,826.787,111,43366,424.370,43,42365,195.103,19,44427,268.871,32,39037,188.271,11,44870,230.716,29,37531,221.868,22,41947,241.260,30,44790,309.885,53,44516,293.193,54,41793,307.544,31,16172
