pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,48,61,43996,43989,222,9,10,660.845661,648.859645,0.018137,180.010,8062,1
1,2,581,59,80,43029,43988,282,9,10,868.056884,819.141279,0.056351,180.008,1,0
1,3,591,80,94,43988,43986,352,9,10,1650.197026,1325.960384,0.196484,180.015,1,0
1,4,593,94,29,43986,43992,250,9,10,1669.980131,1432.690865,0.142091,180.017,272,1
1,5,591,90,83,44264,43998,350,9,10,2050.404422,1550.997427,0.243565,180.008,1,1
1,6,583,85,51,44849,43988,276,9,10,1289.070256,1143.158061,0.113192,180.012,2,0
1,7,588,52,34,44179,43785,176,9,10,831.035207,813.747169,0.020803,180.004,1,1
1,8,581,47,33,44394,43983,164,9,10,1345.907088,1189.138040,0.116478,180.009,2309,0
1,9,591,33,25,43983,43948,120,9,10,1420.822454,1153.422182,0.188201,180.003,3841,1
1,10,593,23,32,43229,43908,114,9,10,829.232698,755.380563,0.089061,180.002,46129,0
1,11,584,32,8,43908,34748,84,2,10,448.913020,448.913020,0.000000,30.288,6246,0
1,12,584,8,1,34748,9565,22,2,3,251.424330,251.424330,0.000000,0.043,1,1
2,1,583,50,59,44956,43029,222,9,10,662.722474,644.735684,0.027141,180.011,4839,0
2,2,581,60,80,43089,43988,284,9,10,884.456097,822.954291,0.069536,180.012,1,0
2,3,591,80,33,43988,43714,230,9,10,1186.327485,1048.319433,0.116332,180.007,39,0
2,4,593,33,87,43714,42944,244,9,10,1304.306601,1111.071794,0.148151,180.428,1,1
2,5,591,70,84,42686,44789,312,9,10,1515.268281,1299.483887,0.142407,180.013,1,0
2,6,583,84,39,44789,43570,250,9,10,1162.779265,1065.470000,0.083687,180.010,1094,0
2,7,588,39,48,43570,44863,178,9,10,839.911324,781.587161,0.069441,180.003,1,0
2,8,581,48,35,44863,44702,170,9,10,1355.956372,1180.299470,0.129545,180.006,5094,0
2,9,591,35,22,44702,42512,118,9,10,1388.100104,1213.425001,0.125838,180.004,2570,1
2,10,593,23,33,42905,44625,116,9,10,852.314657,790.171773,0.072911,180.004,10571,1
3,1,583,50,60,44956,43089,224,9,10,665.124997,648.659629,0.024755,180.007,3129,0
3,3,591,80,48,43988,43416,260,9,10,1164.795325,1033.797315,0.112464,180.008,731,0
3,4,593,48,71,43416,42862,242,9,10,1333.172202,1114.250372,0.164211,180.008,1,1
3,5,591,73,84,44144,44789,318,9,10,1566.272709,1359.082312,0.132282,180.009,2,0
3,6,583,85,39,44953,43570,252,9,10,1165.463548,1042.697495,0.105337,180.007,1088,0
3,8,581,48,33,44863,43203,166,9,10,1264.860297,1038.725263,0.178783,180.005,5255,0
3,9,591,33,24,43203,44810,118,9,10,1401.732755,1146.646604,0.181979,180.003,3928,0
3,10,593,25,33,44848,43826,120,9,10,856.469516,778.885123,0.090586,180.003,9043,0
4,1,583,50,59,44956,42925,222,9,10,652.408473,635.068583,0.026578,180.006,4348,0
4,2,581,59,79,42925,43950,280,9,10,852.882487,804.235602,0.057038,180.008,1,0
4,3,591,79,46,43950,42134,254,9,10,1125.269903,975.841480,0.132793,180.004,1,0
4,4,593,46,73,42134,44144,242,9,10,1328.750480,1112.737620,0.162568,180.011,1,1
4,5,591,75,85,43840,44953,324,9,10,1588.985595,1298.290614,0.182944,180.011,1,0
4,8,581,48,33,44863,43203,166,9,10,1264.037209,1038.538846,0.178395,180.005,2927,0
4,9,591,33,25,43203,44848,120,9,10,1411.163950,1138.667469,0.193101,180.003,3983,0
5,3,591,79,44,43950,42438,250,9,10,1128.224332,1013.118764,0.102024,180.011,4,0
5,4,593,44,75,42438,43840,242,9,10,1379.464834,1124.367377,0.184925,180.012,1,0
